,Provincia,Max precio,Min precio
0,Achaia,25.0,25.0
1,Aconcagua Costa,25.0,13.0
2,Aconcagua Valley,235.0,5.0
3,Aegean,120.0,15.0
4,Agioritikos,25.0,22.0
5,Ahr,78.0,40.0
6,Alenquer,8.0,8.0
7,Alentejano,158.0,5.0
8,Alentejo,275.0,7.0
9,Algarve,20.0,10.0
10,Alsace,120.0,8.0
11,America,75.0,6.0
12,Amindeo,35.0,20.0
13,Amyndeon,38.0,24.0
14,Andalucia,258.0,9.0
15,Ankara,27.0,18.0
16,Apalta,82.0,11.0
17,Arizona,54.0,13.0
18,Armenia,14.0,14.0
19,Atalanti Valley,50.0,10.0
20,Atlantida,40.0,11.0
21,Attica,30.0,8.0
22,Australia Other,130.0,6.0
23,Austria,150.0,11.0
24,Awatere Valley,25.0,14.0
25,Baden,138.0,13.0
26,Bairrada,98.0,7.0
27,Beaujolais,224.0,9.0
28,Beira Atlantico,60.0,11.0
29,Beira Interior,55.0,10.0
30,Beiras,70.0,10.0
31,Bekaa Valley,63.0,13.0
32,Beotia,27.0,27.0
33,Black Sea Coastal,9.0,9.0
34,Bordeaux,2500.0,6.0
35,Bot River,35.0,35.0
36,Brazil,26.0,15.0
37,Brda,40.0,30.0
38,Breede River Valley,10.0,10.0
39,Breedekloof,20.0,18.0
40,British Columbia,120.0,15.0
41,Bucelas,20.0,7.0
42,Buin,125.0,22.0
43,Bulgaria,10.0,8.0
44,Burgenland,128.0,7.0
45,Burgundy,886.0,9.0
46,Bío Bío Valley,25.0,9.0
47,Cachapoal Valley,125.0,7.0
48,Cahul,8.0,8.0
49,California,750.0,4.0
50,Campanha,26.0,26.0
51,Canelones,65.0,12.0
52,Canterbury,60.0,16.0
53,Cape South Coast,26.0,26.0
54,Cappadocia,30.0,15.0
55,Carnuntum,70.0,12.0
56,Casablanca Valley,100.0,6.0
57,Casablanca-Curicó Valley,12.0,12.0
58,Catalonia,770.0,6.0
59,Cauquenes Valley,30.0,30.0
60,Cederberg,30.0,22.0
61,Central Greece,8.0,8.0
62,Central Italy,100.0,7.0
63,Central Otago,120.0,17.0
64,Central Spain,250.0,4.0
65,Central Valley,56.0,5.0
66,Cephalonia,20.0,15.0
67,Ceres Plateau,,
68,Chalkidiki,30.0,25.0
69,Champagne,800.0,10.0
70,Chile,150.0,7.0
71,Choapa Valley,16.0,15.0
72,Coastal Region,50.0,10.0
73,Coelemu,25.0,25.0
74,Colchagua Costa,65.0,12.0
75,Colchagua Valley,300.0,7.0
76,Colorado,65.0,14.0
77,Connecticut,20.0,11.0
78,Constantia,22.0,12.0
79,Corinth,16.0,15.0
80,Crete,50.0,10.0
81,Croatia,19.0,19.0
82,Curicó Valley,90.0,6.0
83,Curicó and Leyda Valleys,13.0,13.0
84,Curicó and Maipo Valleys,12.0,12.0
85,Cyclades,27.0,27.0
86,Cyprus,17.0,11.0
87,Dalmatian Coast,19.0,19.0
88,Dan,12.0,12.0
89,Danube River Plains,23.0,9.0
90,Darling,20.0,14.0
91,Dealu Mare,100.0,9.0
92,Dealurile Munteniei,10.0,8.0
93,Dingač,38.0,38.0
94,Dolenjska,12.0,12.0
95,Douro,450.0,7.0
96,Drama,37.0,14.0
97,Durbanville,51.0,11.0
98,Duriense,45.0,15.0
99,Dão,80.0,6.0
100,East Coast,15.0,13.0
101,Eger,70.0,19.0
102,Eilandia,15.0,10.0
103,Eisenberg,69.0,20.0
104,Elazığ,29.0,20.0
105,Elazığ-Diyarbakir,25.0,25.0
106,Elgin,75.0,12.0
107,Elim,29.0,29.0
108,Ella Valley,45.0,25.0
109,Elqui Valley,44.0,9.0
110,England,80.0,25.0
111,Epanomi,79.0,20.0
112,Estremadura,16.0,7.0
113,Florina,59.0,17.0
114,France Other,90.0,5.0
115,Franken,279.0,16.0
116,Franschhoek,39.0,15.0
117,Fruška Gora,16.0,15.0
118,Galicia,102.0,10.0
119,Galil,45.0,8.0
120,Galilee,100.0,10.0
121,Georgia,23.0,10.0
122,Germany,40.0,13.0
123,Gisborne,30.0,17.0
124,Golan Heights,60.0,40.0
125,Goriska Brda,44.0,15.0
126,Goumenissa,27.0,27.0
127,Greece,23.0,10.0
128,Groenekloof,23.0,15.0
129,Guerrouane,40.0,30.0
130,Halkidiki,19.0,8.0
131,Haut-Judeé,75.0,45.0
132,Hawke's Bay,120.0,13.0
133,Hemel en Aarde,55.0,34.0
134,Hrvatsko Primorje,13.0,13.0
135,Hungary,26.0,10.0
136,Hvar,27.0,27.0
137,Ica,68.0,10.0
138,Idaho,50.0,6.0
139,Illinois,32.0,32.0
140,Iowa,16.0,13.0
141,Ismarikos,22.0,20.0
142,Israel,70.0,9.0
143,Istria,41.0,13.0
144,Italy Other,225.0,10.0
145,Itata Valley,39.0,11.0
146,Jidvei,16.0,10.0
147,Jonkershoek Valley,43.0,35.0
148,Juanico,120.0,10.0
149,Judean Hills,85.0,12.0
150,Kakheti,40.0,9.0
151,Kamptal,99.0,12.0
152,Kentucky,35.0,35.0
153,Korinthia,15.0,13.0
154,Korčula,28.0,24.0
155,Kras,20.0,20.0
156,Kremstal,84.0,11.0
157,Kumeu,52.0,19.0
158,Kutjevo,25.0,13.0
159,Lakonia,40.0,40.0
160,Languedoc-Roussillon,80.0,7.0
161,Lebanon,75.0,20.0
162,Leithaberg,111.0,17.0
163,Lemesos,21.0,21.0
164,Levante,142.0,4.0
165,Leyda Valley,45.0,10.0
166,Leyda Valley-Maipo Valley,13.0,10.0
167,Limarí Valley,60.0,7.0
168,Lisboa,65.0,6.0
169,Loire Valley,159.0,8.0
170,Lolol Valley,24.0,12.0
171,Lombardy,105.0,9.0
172,Loncomilla Valley,70.0,7.0
173,Lontué Valley,32.0,5.0
174,Lutzville Valley,10.0,10.0
175,Macedonia,43.0,20.0
176,Madeira,236.0,194.0
177,Maipo Valley,400.0,6.0
